Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
,,10.1002/bse.2172,False,,,,,False,,
The Robustness of the Corporate Social and Financial Performance Relation: A Second‐Order Meta‐Analysis,,10.1002/csr.1480,True,The Robustness of the Corporate Social and Financial Performance Relation_ A Second_Order Meta_Analysis.pdf,2018,,Corporate Social Responsibility and Environmental Management,True,SciDB,"Busch, Timo and Friede, Gunnar"
Integrative Sustainable Intelligence: A holistic model to integrate corporate sustainability strategies,,10.1002/csr.1906,True,Integrative Sustainable Intelligence_ A holistic model to integrate corporate sustainability strategies.pdf,2020,,Corporate Social Responsibility and Environmental Management,True,SciDB,"Silvestre, Winston Jerónimo and Fonseca, Ana"
,,10.1007/s00187-017-0258-5,False,,,,,False,,
,,10.1007/s10490-014-9391-0,False,,,,,False,,
,,10.1007/s10551-012-1291-2,False,,,,,False,,
,,10.1007/s10551-015-2631-7,False,,,,,False,,
Factors affecting the outcome of corporate sustainability policy: a review paper,,10.1007/s11356-020-12143-7,True,Factors affecting the outcome of corporate sustainability policy_ a review paper.pdf,2021,,Environmental Science and Pollution Research,True,SciDB,"Ahmed, Mushtaq and Mubarik, Muhammad Shujaat and Shahbaz, Muhammad"
The GenAI is out of the bottle: generative artificial intelligence from a business model innovation perspective,,10.1007/s11846-023-00696-z,True,,2023,,Review of Managerial Science,False,,"Kanbach, Dominik K. and Heiduk, Louisa and Blueher, Georg and Schreiter, Maximilian and Lahmann, Alexander"
Generative AI in mobile networks: a survey,,10.1007/s12243-023-00980-9,True,,2023,,Annals of Telecommunications,False,,"Karapantelakis, Athanasios and Alizadeh, Pegah and Alabassi, Abdulrahman and Dey, Kaushik and Nikou, Alexandros"
Unravelling the Impact of Generative Artificial Intelligence (GAI) in Industrial Applications: A Review of Scientific and Grey Literature,,10.1007/s40171-023-00356-x,True,,2023,,Global Journal of Flexible Systems Management,False,,"Kar, Arpan Kumar and Varsha, P. S. and Rajan, Shivakami"
